"correlativ";"w";"nombarrio";"ccz";"municipio";"e26";"e27";"e30";"ht11";"ht13";"ht19";"pobre";"VivAdec";"desocupado";"Auto";"Internet"
"2019_1_2019046711";43;"Casabo, Pajas Blancas";17;"A";2;36;1;72472;7000;"4";0;2;0;0;0
"2019_1_2019046714";35;"Conciliacion";13;"G";2;43;1;149542;13000;"3";0;1;0;0;1
"2019_1_2019046716";23;"Paso de las Duranas";13;"G";2;77;1;62288;20000;"1";0;1;0;0;1
"2019_1_2019046719";29;"Jardines del Hipodromo";9;"F";2;60;1;41476;8000;"2";0;2;0;0;0
"2019_1_2019046720";27;"Parque Rodo";2;"B";1;79;1;108724;25000;"2";0;1;0;0;0
"2019_1_2019046722";44;"Cerrito";11;"D";1;53;1;93355;12000;"5";0;2;0;0;1
"2019_1_2019046723";22;"Centro";1;"B";2;77;1;33615;16000;"1";0;1;0;0;0
"2019_1_2019046731";48;"Castro, P. Castellanos";11;"D";2;57;1;118740;0;"4";0;1;0;0;0
"2019_1_2019046737";25;"La Paloma, Tomkinson";17;"A";1;57;1;21000;6000;"1";0;3;0;0;0
"2019_1_2019046744";20;"La Figurita";3;"C";1;69;1;47193;20000;"1";0;1;0;0;1
"2019_1_2019046746";38;"Flor de Maro¦as";9;"F";1;59;1;108084;13000;"4";0;1;0;1;1
"2019_1_2019046747";42;"Malvin";6;"E";1;40;1;207248,5;18500;"4";0;1;0;1;1
"2019_1_2019046753";28;"Cordon";2;"B";2;26;1;28624;0;"1";0;1;0;0;1
"2019_1_2019046759";21;"Paso de las Duranas";13;"G";1;65;1;64088;20000;"1";0;1;0;0;0
"2019_1_2019046762";43;"Villa Espa¦ola";11;"D";2;56;1;125059;5000;"11";0;1;0;1;1
"2019_1_2019046765";55;"La Teja";14;"A";1;48;1;55886,6666666667;8000;"2";0;1;0;0;0
"2019_1_2019046767";41;"Pocitos";5;"CH";1;37;1;100084;0;"4";0;1;0;1;1
"2019_1_2019046770";44;"Manga";10;"D";1;39;1;118986;14000;"4";0;2;0;1;1
"2019_1_2019046776";40;"Brazo Oriental";3;"C";2;30;1;79786;0;"3";0;1;0;1;1
"2019_1_2019046777";23;"La Figurita";3;"C";2;65;1;34380;12000;"1";0;1;0;0;1
"2019_1_2019046780";44;"Manga";10;"D";1;74;1;170390;20000;"6";0;2;0;1;1
"2019_1_2019046781";16;"Ciudad Vieja";1;"B";2;49;1;96204,6666666667;18000;"1";0;1;0;0;1
"2019_1_2019046785";51;"Ba¦ados de Carrasco";9;"F";1;44;1;79542;12000;"2";0;1;0;1;1
"2019_1_2019046791";32;"Casavalle";11;"D";2;69;1;68840;15000;"2";0;1;0;0;1
"2019_1_2019046795";43;"Aires Puros";15;"C";2;78;1;104788;16000;"5";0;1;0;1;1
"2019_1_2019046796";36;"Malvin";7;"E";1;32;1;163736;0;"2";0;1;0;0;1
"2019_1_2019046803";34;"Pocitos";5;"CH";1;32;1;132424,333333333;25000;"3";0;1;0;1;1
