"correlativ";"w";"nombarrio";"ccz";"municipio";"e26";"e27";"e30";"desocupado";"ocupados";"subempleo";"pobpcoac";"TotEduc"
"2019_1_2019009538";24;"Palermo";2;"B";1;64;1;0;1;0;2;"14"
"2019_1_2019009540";24;"Manga";9;"F";2;76;1;0;1;0;2;"4"
"2019_1_2019009543";32;"Jardines del Hipodromo";9;"F";1;67;1;0;0;0;10;"8"
"2019_1_2019009543";32;"Jardines del Hipodromo";9;"F";2;69;2;0;0;0;6;"6"
"2019_1_2019009547";37;"Punta Carretas";5;"CH";1;16;3;0;0;0;7;"10"
"2019_1_2019009547";37;"Punta Carretas";5;"CH";2;48;2;0;0;0;8;"12"
"2019_1_2019009547";37;"Punta Carretas";5;"CH";1;54;1;0;1;0;2;"14"
"2019_1_2019009547";37;"Punta Carretas";5;"CH";1;19;3;0;0;0;7;"14"
"2019_1_2019009549";18;"Pocitos";5;"CH";1;75;1;0;0;0;10;"18"
"2019_1_2019009565";42;"Pocitos";5;"CH";2;41;2;0;1;0;2;"18"
"2019_1_2019009565";42;"Pocitos";5;"CH";1;40;1;0;1;0;2;"14"
"2019_1_2019009565";42;"Pocitos";5;"CH";1;3;3;0;0;0;1;"0"
"2019_1_2019009565";42;"Pocitos";5;"CH";1;8;3;0;0;0;1;"2"
"2019_1_2019009568";19;"Pta. Rieles, Bella Italia";9;"F";2;64;1;0;0;0;10;"13"
"2019_1_2019009569";41;"La Comercial";3;"C";2;24;9;0;0;0;7;"15"
"2019_1_2019009569";41;"La Comercial";3;"C";2;27;1;0;1;0;2;"16"
"2019_1_2019009574";35;"Pocitos";5;"CH";2;10;3;0;0;0;1;"3"
"2019_1_2019009574";35;"Pocitos";5;"CH";2;7;3;0;0;0;1;"0"
"2019_1_2019009574";35;"Pocitos";5;"CH";1;43;2;0;1;0;2;"19"
"2019_1_2019009574";35;"Pocitos";5;"CH";2;42;1;0;1;0;2;"15"
"2019_1_2019009579";34;"Paso de las Duranas";13;"G";2;84;12;0;0;0;10;"6"
"2019_1_2019009579";34;"Paso de las Duranas";13;"G";1;55;1;1;0;0;4;"12"
"2019_1_2019009586";31;"Centro";1;"B";1;75;1;0;0;0;10;"12"
"2019_1_2019009586";31;"Centro";1;"B";2;75;2;0;0;0;10;"12"
"2019_1_2019009588";26;"Paso de la Arena";18;"A";1;64;1;0;1;0;2;"9"
"2019_1_2019009589";27;"Punta Carretas";5;"CH";1;72;1;0;0;0;10;"15"
"2019_1_2019009589";27;"Punta Carretas";5;"CH";2;32;3;0;0;0;11;"16"
"2019_1_2019009589";27;"Punta Carretas";5;"CH";2;70;2;0;0;0;8;"15"
"2019_1_2019009595";41;"Jardines del Hipodromo";9;"F";2;18;4;0;0;0;11;"9"
"2019_1_2019009595";41;"Jardines del Hipodromo";9;"F";2;21;4;0;1;1;2;"9"
"2019_1_2019009595";41;"Jardines del Hipodromo";9;"F";2;4;4;0;0;0;1;"0"
"2019_1_2019009595";41;"Jardines del Hipodromo";9;"F";1;7;11;0;0;0;1;"1"
"2019_1_2019009595";41;"Jardines del Hipodromo";9;"F";1;11;4;0;0;0;1;"4"
"2019_1_2019009595";41;"Jardines del Hipodromo";9;"F";2;48;1;0;0;0;6;"3"
"2019_1_2019009597";25;"Pocitos";5;"CH";2;60;1;0;1;0;2;"12"
"2019_1_2019009597";25;"Pocitos";5;"CH";2;81;7;0;0;0;10;"10"
"2019_1_2019009598";36;"Atahualpa";15;"C";1;39;2;0;1;1;2;"18"
"2019_1_2019009598";36;"Atahualpa";15;"C";2;36;1;0;1;0;2;"20"
"2019_1_2019009604";18;"Conciliacion";13;"G";2;55;1;0;1;0;2;"6"
"2019_1_2019009605";22;"Pe¦arol, Lavalleja";13;"G";2;71;1;0;0;0;10;"16"
"2019_1_2019009621";34;"Malvin Norte";6;"E";1;29;4;0;1;0;2;"17"
"2019_1_2019009621";34;"Malvin Norte";6;"E";2;56;1;0;1;0;2;"15"
"2019_1_2019009629";17;"Colon Sureste, Abayuba";12;"G";2;56;1;0;0;0;6;"12"
"2019_1_2019009633";20;"Las Canteras";6;"E";1;86;1;0;0;0;10;"12"
"2019_1_2019009637";18;"Cordon";2;"B";2;63;1;0;0;0;10;"17"
"2019_1_2019009638";39;"Pe¦arol, Lavalleja";13;"G";1;38;2;0;1;0;2;"12"
"2019_1_2019009638";39;"Pe¦arol, Lavalleja";13;"G";1;7;3;0;0;0;1;"1"
"2019_1_2019009638";39;"Pe¦arol, Lavalleja";13;"G";2;35;1;0;0;0;6;"10"
"2019_1_2019009644";16;"Prado, Nueva Savona";14;"A";2;35;1;0;1;0;2;"19"
"2019_1_2019009664";34;"Conciliacion";13;"G";1;65;1;0;1;0;2;"6"
"2019_1_2019009664";34;"Conciliacion";13;"G";2;19;4;1;0;0;4;"8"
"2019_1_2019009670";36;"Cordon";2;"B";2;44;1;0;1;0;2;"21"
"2019_1_2019009670";36;"Cordon";2;"B";1;39;2;0;1;0;2;"11"
"2019_1_2019009673";36;"Paso de la Arena";18;"A";2;47;1;1;0;0;4;"6"
"2019_1_2019009673";36;"Paso de la Arena";18;"A";1;40;13;0;1;0;2;"2"
"2019_1_2019009675";22;"Pta. Rieles, Bella Italia";9;"F";1;67;1;0;0;0;10;"6"
"2019_1_2019009677";30;"Larra¦aga";3;"C";1;71;1;0;0;0;10;"12"
"2019_1_2019009677";30;"Larra¦aga";3;"C";2;69;2;0;0;0;6;"10"
"2019_1_2019009681";40;"Larra¦aga";3;"C";2;47;1;0;1;0;2;"15"
"2019_1_2019009681";40;"Larra¦aga";3;"C";1;44;2;0;1;0;2;"12"
"2019_1_2019009681";40;"Larra¦aga";3;"C";1;9;3;0;0;0;1;"3"
"2019_1_2019009681";40;"Larra¦aga";3;"C";1;12;3;0;0;0;1;"7"
"2019_1_2019009683";41;"Larra¦aga";4;"CH";2;14;3;0;0;0;7;"8"
"2019_1_2019009683";41;"Larra¦aga";4;"CH";1;21;4;0;1;0;2;"15"
"2019_1_2019009683";41;"Larra¦aga";4;"CH";1;54;2;0;1;0;2;"12"
"2019_1_2019009683";41;"Larra¦aga";4;"CH";2;24;4;0;1;0;2;"14"
"2019_1_2019009683";41;"Larra¦aga";4;"CH";2;48;1;0;1;0;2;"16"
"2019_1_2019009685";21;"Carrasco";8;"E";2;67;2;0;0;0;10;"12"
"2019_1_2019009685";21;"Carrasco";8;"E";1;66;1;0;0;0;10;"8"
"2019_1_2019009687";30;"Brazo Oriental";3;"C";1;64;1;0;0;0;10;"10"
"2019_1_2019009687";30;"Brazo Oriental";3;"C";2;63;2;0;0;0;10;"12"
"2019_1_2019009688";32;"Villa Espa¦ola";11;"D";2;51;1;0;1;0;2;"10"
"2019_1_2019009688";32;"Villa Espa¦ola";11;"D";2;18;4;1;0;0;4;"9"
"2019_1_2019009691";27;"Pe¦arol, Lavalleja";13;"G";2;47;4;0;0;0;11;"15"
"2019_1_2019009691";27;"Pe¦arol, Lavalleja";13;"G";2;71;1;0;0;0;9;"5"
"2019_1_2019009693";35;"Jardines del Hipodromo";9;"F";1;61;1;0;1;0;2;"4"
"2019_1_2019009693";35;"Jardines del Hipodromo";9;"F";2;81;7;0;0;0;9;"2"
"2019_1_2019009694";55;"Union";6;"E";1;33;9;0;1;0;2;"14"
"2019_1_2019009694";55;"Union";6;"E";1;36;1;0;1;0;2;"15"
"2019_1_2019009696";37;"Las Canteras";9;"F";1;50;1;0;1;1;2;"13"
"2019_1_2019009696";37;"Las Canteras";9;"F";2;13;3;0;0;0;1;"7"
"2019_1_2019009696";37;"Las Canteras";9;"F";2;17;3;0;0;0;7;"11"
"2019_1_2019009696";37;"Las Canteras";9;"F";2;47;2;0;1;0;2;"15"
"2019_1_2019009702";38;"Sayago";13;"G";1;63;1;0;1;0;2;"8"
"2019_1_2019009702";38;"Sayago";13;"G";2;57;2;0;0;0;10;"11"
"2019_1_2019009702";38;"Sayago";13;"G";1;27;3;0;1;0;2;"10"
"2019_1_2019009711";33;"Las Canteras";8;"E";2;59;9;0;0;0;9;"19"
"2019_1_2019009711";33;"Las Canteras";8;"E";1;61;1;NA;NA;NA;NA;"---"
"2019_1_2019009711";33;"Las Canteras";8;"E";2;98;7;0;0;0;10;"3"
"2019_1_2019009716";16;"Pocitos";5;"CH";2;50;1;0;1;0;2;"19"
"2019_1_2019009718";43;"Brazo Oriental";3;"C";2;78;7;0;0;0;9;"4"
"2019_1_2019009718";43;"Brazo Oriental";3;"C";1;48;1;0;1;0;2;"19"
"2019_1_2019009721";29;"Cordon";2;"B";2;47;4;0;0;0;9;"7"
"2019_1_2019009721";29;"Cordon";2;"B";2;48;4;0;0;0;6;"12"
"2019_1_2019009721";29;"Cordon";2;"B";2;82;1;0;0;0;10;"8"
"2019_1_2019009722";21;"Buceo";7;"E";1;66;1;0;0;0;10;"9"
"2019_1_2019009729";24;"Tres Ombues, Victoria";14;"A";2;71;1;0;0;0;10;"4"
"2019_1_2019009735";18;"Ciudad Vieja";1;"B";2;62;1;0;1;0;2;"8"
"2019_1_2019009737";27;"Carrasco";8;"E";1;69;1;0;0;0;10;"14"
"2019_1_2019009737";27;"Carrasco";8;"E";2;22;3;0;0;0;7;"14"
"2019_1_2019009737";27;"Carrasco";8;"E";2;65;2;0;0;0;10;"17"
"2019_1_2019009737";27;"Carrasco";8;"E";1;1;11;0;0;0;1;"0"
"2019_1_2019009740";40;"Las Canteras";9;"F";1;38;4;0;1;0;2;"11"
"2019_1_2019009740";40;"Las Canteras";9;"F";2;35;6;0;1;0;2;"17"
"2019_1_2019009740";40;"Las Canteras";9;"F";1;67;1;0;0;0;10;"15"
"2019_1_2019009740";40;"Las Canteras";9;"F";1;6;11;0;0;0;1;"0"
"2019_1_2019009741";16;"Union";11;"D";2;38;1;0;1;0;2;"18"
"2019_1_2019009742";31;"Centro";1;"B";2;65;2;0;1;0;2;"16"
"2019_1_2019009742";31;"Centro";1;"B";1;69;1;0;0;0;10;"15"
"2019_1_2019009743";40;"Cerro";17;"A";1;11;3;0;0;0;1;"5"
"2019_1_2019009743";40;"Cerro";17;"A";2;4;3;0;0;0;1;"0"
"2019_1_2019009743";40;"Cerro";17;"A";2;45;2;0;1;0;2;"9"
"2019_1_2019009743";40;"Cerro";17;"A";1;44;1;0;1;0;2;"12"
"2019_1_2019009759";30;"Cordon";2;"B";1;59;2;0;1;0;2;"17"
"2019_1_2019009759";30;"Cordon";2;"B";2;50;1;0;1;0;2;"18"
"2019_1_2019009766";26;"Manga, Toledo Chico";10;"D";1;56;1;0;1;0;2;"10"
"2019_1_2019009768";38;"Union";11;"D";1;43;2;0;1;0;2;"9"
"2019_1_2019009768";38;"Union";11;"D";1;0;3;0;0;0;1;"0"
"2019_1_2019009768";38;"Union";11;"D";2;36;1;0;1;0;2;"16"
"2019_1_2019009771";26;"Colon Centro y Noroeste";12;"G";1;59;1;0;1;0;2;"6"
"2019_1_2019009774";31;"La Paloma, Tomkinson";18;"A";2;72;1;0;0;0;10;"8"
"2019_1_2019009774";31;"La Paloma, Tomkinson";18;"A";1;74;2;0;0;0;10;"6"
"2019_1_2019009781";20;"Punta Carretas";5;"CH";2;69;1;0;0;0;10;"16"
"2019_1_2019009782";35;"Cerrito";11;"D";2;39;3;0;1;0;2;"15"
"2019_1_2019009782";35;"Cerrito";11;"D";1;11;11;0;0;0;1;"5"
"2019_1_2019009782";35;"Cerrito";11;"D";1;62;1;0;0;0;10;"15"
"2019_1_2019009782";35;"Cerrito";11;"D";2;83;2;0;0;0;10;"12"
"2019_1_2019009785";41;"Pque. Batlle, V. Dolores";5;"CH";1;35;1;NA;NA;NA;NA;"---"
"2019_1_2019009792";23;"Villa Mu¦oz, Retiro";2;"B";2;79;1;0;0;0;10;"12"
"2019_1_2019009795";43;"Buceo";5;"CH";2;14;3;0;0;0;7;"8"
"2019_1_2019009795";43;"Buceo";5;"CH";1;15;3;0;0;0;7;"9"
"2019_1_2019009795";43;"Buceo";5;"CH";2;46;1;0;1;0;2;"13"
"2019_1_2019009795";43;"Buceo";5;"CH";1;45;2;0;1;0;2;"12"
"2019_1_2019009797";37;"Belvedere";14;"A";2;33;2;0;1;0;2;"16"
"2019_1_2019009797";37;"Belvedere";14;"A";2;2;3;0;0;0;1;"0"
"2019_1_2019009797";37;"Belvedere";14;"A";1;27;1;0;1;0;2;"17"
"2019_1_2019009797";37;"Belvedere";14;"A";2;0;3;0;0;0;1;"0"
"2019_1_2019009798";25;"Carrasco";8;"E";1;0;3;0;0;0;1;"0"
"2019_1_2019009798";25;"Carrasco";8;"E";1;52;2;0;1;0;2;"18"
"2019_1_2019009798";25;"Carrasco";8;"E";2;42;1;0;1;0;2;"18"
"2019_1_2019009798";25;"Carrasco";8;"E";1;2;3;0;0;0;1;"0"
"2019_1_2019009803";30;"Larra¦aga";4;"CH";1;55;2;0;1;0;2;"15"
"2019_1_2019009803";30;"Larra¦aga";4;"CH";2;50;1;0;1;0;2;"23"
"2019_1_2019009811";43;"Pocitos";5;"CH";2;22;4;0;1;0;2;"10"
"2019_1_2019009811";43;"Pocitos";5;"CH";2;19;4;0;1;0;2;"8"
"2019_1_2019009811";43;"Pocitos";5;"CH";1;54;1;0;1;0;2;"10"
"2019_1_2019009814";29;"Punta Carretas";5;"CH";1;51;1;0;1;0;2;"10"
"2019_1_2019009814";29;"Punta Carretas";5;"CH";2;36;2;0;1;0;2;"12"
"2019_1_2019009814";29;"Punta Carretas";5;"CH";1;2;3;0;0;0;1;"0"
"2019_1_2019009816";29;"Mercado Modelo, Bolivar";3;"C";2;54;1;0;1;0;2;"16"
"2019_1_2019009816";29;"Mercado Modelo, Bolivar";3;"C";2;86;7;0;0;0;10;"4"
"2019_1_2019009821";41;"Villa Garcia, Manga Rur.";9;"F";1;44;2;0;1;0;2;"14"
"2019_1_2019009821";41;"Villa Garcia, Manga Rur.";9;"F";2;8;3;0;0;0;1;"1"
"2019_1_2019009821";41;"Villa Garcia, Manga Rur.";9;"F";2;40;1;0;1;0;2;"16"
"2019_1_2019009821";41;"Villa Garcia, Manga Rur.";9;"F";1;10;3;0;0;0;1;"4"
"2019_1_2019009823";38;"Aguada";16;"C";1;35;1;0;1;0;2;"17"
"2019_1_2019009823";38;"Aguada";16;"C";1;5;3;0;0;0;1;"0"
"2019_1_2019009823";38;"Aguada";16;"C";2;34;2;0;1;0;2;"15"
"2019_1_2019009826";39;"Belvedere";13;"G";1;37;1;0;1;0;2;"14"
"2019_1_2019009827";36;"Malvin Norte";6;"E";2;52;1;0;1;0;2;"19"
"2019_1_2019009827";36;"Malvin Norte";6;"E";1;29;4;0;1;0;2;"15"
"2019_1_2019009827";36;"Malvin Norte";6;"E";2;78;7;0;0;0;10;"10"
"2019_1_2019009831";35;"Casabo, Pajas Blancas";17;"A";2;43;2;0;1;0;2;"12"
"2019_1_2019009831";35;"Casabo, Pajas Blancas";17;"A";1;56;1;0;1;1;2;"9"
"2019_1_2019009831";35;"Casabo, Pajas Blancas";17;"A";1;12;3;0;0;0;1;"6"
"2019_1_2019009835";45;"Colon Centro y Noroeste";12;"G";2;15;4;0;0;0;7;"8"
"2019_1_2019009835";45;"Colon Centro y Noroeste";12;"G";1;13;4;0;0;0;1;"6"
"2019_1_2019009835";45;"Colon Centro y Noroeste";12;"G";2;35;1;0;1;1;2;"6"
"2019_1_2019009835";45;"Colon Centro y Noroeste";12;"G";1;35;2;0;1;0;2;"6"
"2019_1_2019009841";23;"Malvin Norte";6;"E";2;74;1;0;0;0;10;"8"
"2019_1_2019009846";35;"Palermo";2;"B";1;18;4;1;0;0;3;"12"
"2019_1_2019009846";35;"Palermo";2;"B";2;13;4;0;0;0;1;"7"
"2019_1_2019009846";35;"Palermo";2;"B";2;48;1;0;1;1;2;"13"
"2019_1_2019009848";23;"Pta. Rieles, Bella Italia";9;"F";2;73;1;0;0;0;9;"6"
"2019_1_2019009853";47;"Conciliacion";13;"G";1;59;12;0;0;0;11;"6"
"2019_1_2019009853";47;"Conciliacion";13;"G";2;80;12;0;0;0;10;"6"
"2019_1_2019009853";47;"Conciliacion";13;"G";1;23;1;0;1;0;2;"7"
"2019_1_2019009853";47;"Conciliacion";13;"G";2;23;2;1;0;0;4;"9"
"2019_1_2019009856";30;"Mercado Modelo, Bolivar";11;"D";2;83;1;0;0;0;10;"6"
"2019_1_2019009856";30;"Mercado Modelo, Bolivar";11;"D";1;83;2;0;0;0;10;"6"
"2019_1_2019009863";35;"La Teja";14;"A";2;37;2;0;1;0;2;"18"
"2019_1_2019009863";35;"La Teja";14;"A";1;38;1;0;1;0;2;"13"
"2019_1_2019009867";50;"Casavalle";11;"D";1;37;2;1;0;0;4;"6"
"2019_1_2019009867";50;"Casavalle";11;"D";1;17;3;0;0;0;7;"11"
"2019_1_2019009867";50;"Casavalle";11;"D";1;20;3;0;1;0;2;"13"
"2019_1_2019009867";50;"Casavalle";11;"D";2;41;1;0;1;0;2;"9"
"2019_1_2019009867";50;"Casavalle";11;"D";1;6;3;0;0;0;1;"0"
"2019_1_2019009868";25;"Pocitos";5;"CH";2;85;1;0;0;0;10;"16"
"2019_1_2019009868";25;"Pocitos";5;"CH";2;50;14;0;1;0;2;"9"
"2019_1_2019009869";41;"Villa Espa¦ola";11;"D";1;34;3;0;0;0;11;"10"
"2019_1_2019009869";41;"Villa Espa¦ola";11;"D";2;54;2;0;0;0;6;"6"
"2019_1_2019009869";41;"Villa Espa¦ola";11;"D";1;59;1;0;1;0;2;"11"
"2019_1_2019009872";30;"Punta Carretas";5;"CH";2;21;3;0;1;1;2;"15"
"2019_1_2019009872";30;"Punta Carretas";5;"CH";2;60;1;0;1;1;2;"17"
"2019_1_2019009872";30;"Punta Carretas";5;"CH";1;65;2;0;1;0;2;"12"
"2019_1_2019009881";35;"Cerro";17;"A";1;10;3;0;0;0;1;"2"
"2019_1_2019009881";35;"Cerro";17;"A";2;1;3;0;0;0;1;"0"
"2019_1_2019009881";35;"Cerro";17;"A";1;53;2;0;1;0;2;"10"
"2019_1_2019009881";35;"Cerro";17;"A";2;35;1;0;1;0;2;"12"
"2019_1_2019009882";20;"Pocitos";5;"CH";2;82;1;0;0;0;10;"22"
"2019_1_2019009883";25;"Villa Espa¦ola";11;"D";1;54;1;0;1;0;2;"14"
"2019_1_2019009889";45;"La Figurita";3;"C";1;17;3;0;0;0;7;"11"
"2019_1_2019009889";45;"La Figurita";3;"C";2;19;3;0;0;0;7;"14"
"2019_1_2019009889";45;"La Figurita";3;"C";1;47;2;0;1;0;2;"11"
"2019_1_2019009889";45;"La Figurita";3;"C";2;44;1;0;1;0;2;"15"
"2019_1_2019009890";20;"Cerro";17;"A";1;75;1;0;0;0;10;"9"
"2019_1_2019009893";28;"Brazo Oriental";15;"C";1;69;2;0;1;0;2;"12"
"2019_1_2019009893";28;"Brazo Oriental";15;"C";2;50;1;0;1;0;2;"16"
"2019_1_2019009897";41;"Larra¦aga";3;"C";1;19;4;0;0;0;7;"11"
"2019_1_2019009897";41;"Larra¦aga";3;"C";1;50;1;0;1;0;2;"15"
"2019_1_2019009906";49;"Punta Carretas";5;"CH";1;48;1;0;1;0;2;"17"
"2019_1_2019009906";49;"Punta Carretas";5;"CH";1;35;2;0;1;0;2;"17"
"2019_1_2019009912";16;"Atahualpa";3;"C";2;31;1;0;1;0;2;"11"
"2019_1_2019009914";24;"Casavalle";11;"D";2;74;1;0;1;0;2;"4"
"2019_1_2019009923";47;"Union";6;"E";2;10;5;0;0;0;1;"4"
"2019_1_2019009923";47;"Union";6;"E";1;39;1;0;1;0;2;"12"
"2019_1_2019009923";47;"Union";6;"E";1;1;3;0;0;0;1;"0"
"2019_1_2019009923";47;"Union";6;"E";2;2;3;0;0;0;1;"0"
"2019_1_2019009923";47;"Union";6;"E";2;27;2;0;0;0;7;"11"
"2019_1_2019009924";29;"Cordon";2;"B";2;29;1;0;1;0;2;"17"
"2019_1_2019009929";18;"Pque. Batlle, V. Dolores";5;"CH";2;61;1;0;0;0;10;"15"
"2019_1_2019009932";32;"La Paloma, Tomkinson";17;"A";2;29;13;0;1;0;2;"7"
"2019_1_2019009932";32;"La Paloma, Tomkinson";17;"A";2;38;1;0;1;0;2;"14"
"2019_1_2019009936";36;"Las Acacias";11;"D";1;36;1;0;1;0;2;"15"
"2019_1_2019009936";36;"Las Acacias";11;"D";2;33;2;0;1;0;2;"15"
"2019_1_2019009939";45;"Casavalle";11;"D";2;65;2;0;0;0;10;"6"
"2019_1_2019009939";45;"Casavalle";11;"D";1;49;1;0;1;0;2;"9"
"2019_1_2019009944";45;"Colon Centro y Noroeste";12;"G";1;42;1;0;1;0;2;"11"
"2019_1_2019009944";45;"Colon Centro y Noroeste";12;"G";1;11;3;0;0;0;1;"4"
"2019_1_2019009944";45;"Colon Centro y Noroeste";12;"G";2;46;2;0;1;0;2;"8"
"2019_1_2019009944";45;"Colon Centro y Noroeste";12;"G";2;19;3;0;0;0;7;"11"
"2019_1_2019009947";39;"Malvin Norte";6;"E";1;39;1;0;1;0;2;"9"
"2019_1_2019009953";43;"La Paloma, Tomkinson";17;"A";1;8;3;0;0;0;1;"2"
"2019_1_2019009953";43;"La Paloma, Tomkinson";17;"A";2;10;3;NA;NA;NA;NA;"---"
"2019_1_2019009953";43;"La Paloma, Tomkinson";17;"A";1;32;1;0;1;0;2;"9"
"2019_1_2019009953";43;"La Paloma, Tomkinson";17;"A";2;33;2;0;1;0;2;"8"
"2019_1_2019009954";41;"Capurro, Bella Vista";16;"C";2;21;3;0;1;0;2;"15"
"2019_1_2019009954";41;"Capurro, Bella Vista";16;"C";1;57;1;0;1;0;2;"14"
"2019_1_2019009954";41;"Capurro, Bella Vista";16;"C";2;56;2;0;1;0;2;"12"
"2019_1_2019009954";41;"Capurro, Bella Vista";16;"C";2;21;3;0;1;0;2;"15"
"2019_1_2019009955";53;"Cerrito";11;"D";1;7;3;0;0;0;1;"1"
"2019_1_2019009955";53;"Cerrito";11;"D";2;49;1;0;1;1;2;"6"
"2019_1_2019009955";53;"Cerrito";11;"D";1;48;2;0;1;1;2;"2"
"2019_1_2019009955";53;"Cerrito";11;"D";1;33;4;0;1;1;2;"6"
"2019_1_2019009955";53;"Cerrito";11;"D";1;22;3;0;0;0;11;"6"
"2019_1_2019009964";40;"Nuevo Paris";14;"A";2;13;4;0;0;0;1;"6"
"2019_1_2019009964";40;"Nuevo Paris";14;"A";2;37;1;0;1;1;2;"7"
"2019_1_2019009964";40;"Nuevo Paris";14;"A";1;15;4;0;0;0;7;"8"
"2019_1_2019009964";40;"Nuevo Paris";14;"A";2;10;4;0;0;0;1;"4"
"2019_1_2019009964";40;"Nuevo Paris";14;"A";1;2;4;0;0;0;1;"0"
"2019_1_2019009967";32;"Pque. Batlle, V. Dolores";5;"CH";1;17;5;0;0;0;7;"11"
"2019_1_2019009967";32;"Pque. Batlle, V. Dolores";5;"CH";2;47;2;0;1;0;2;"15"
"2019_1_2019009967";32;"Pque. Batlle, V. Dolores";5;"CH";1;55;1;0;1;0;2;"14"
"2019_1_2019009969";20;"Pocitos";5;"CH";2;66;1;0;0;0;10;"18"
"2019_1_2019009972";23;"La Blanqueada";4;"CH";2;67;1;0;0;0;10;"23"
"2019_1_2019009973";41;"Pocitos";5;"CH";1;34;1;0;1;0;2;"19"
"2019_1_2019009973";41;"Pocitos";5;"CH";2;28;2;0;1;0;2;"19"
"2019_1_2019009978";29;"Parque Rodo";2;"B";2;66;2;0;1;0;2;"20"
"2019_1_2019009978";29;"Parque Rodo";2;"B";1;63;1;0;1;0;2;"18"
"2019_1_2019009979";23;"Brazo Oriental";15;"C";2;78;1;0;0;0;10;"0"
"2019_1_2019009981";42;"Casabo, Pajas Blancas";17;"A";2;12;3;0;0;0;1;"7"
"2019_1_2019009981";42;"Casabo, Pajas Blancas";17;"A";1;0;3;0;0;0;1;"0"
"2019_1_2019009981";42;"Casabo, Pajas Blancas";17;"A";1;33;2;0;1;0;2;"9"
"2019_1_2019009981";42;"Casabo, Pajas Blancas";17;"A";2;35;1;0;1;0;2;"8"
"2019_1_2019009981";42;"Casabo, Pajas Blancas";17;"A";1;8;3;0;0;0;1;"3"
"2019_1_2019009983";26;"Pocitos";5;"CH";2;50;2;0;1;0;2;"18"
"2019_1_2019009983";26;"Pocitos";5;"CH";1;52;1;0;1;0;2;"21"
"2019_1_2019009984";43;"Maro¦as, Parque Guarani";9;"F";1;45;4;0;0;0;9;"6"
"2019_1_2019009984";43;"Maro¦as, Parque Guarani";9;"F";2;68;1;0;0;0;9;"6"
"2019_1_2019009985";39;"Manga, Toledo Chico";10;"D";2;42;1;0;1;0;2;"8"
"2019_1_2019009985";39;"Manga, Toledo Chico";10;"D";1;14;4;0;0;0;7;"7"
"2019_1_2019009985";39;"Manga, Toledo Chico";10;"D";1;10;4;0;0;0;1;"4"
"2019_1_2019009985";39;"Manga, Toledo Chico";10;"D";1;15;4;0;0;0;7;"9"
"2019_1_2019009987";42;"Nuevo Paris";18;"A";2;44;2;0;1;0;2;"9"
"2019_1_2019009987";42;"Nuevo Paris";18;"A";2;18;3;0;1;0;2;"12"
"2019_1_2019009987";42;"Nuevo Paris";18;"A";2;22;3;0;1;0;2;"16"
"2019_1_2019009987";42;"Nuevo Paris";18;"A";1;50;1;0;1;0;2;"10"
"2019_1_2019009989";18;"Las Canteras";8;"E";2;58;1;0;1;0;2;"14"
"2019_1_2019009990";32;"Reducto";3;"C";2;2;3;0;0;0;1;"0"
"2019_1_2019009990";32;"Reducto";3;"C";2;42;2;0;1;0;2;"19"
"2019_1_2019009990";32;"Reducto";3;"C";1;56;1;0;1;0;2;"20"
"2019_1_2019009991";45;"Aguada";1;"B";1;11;4;0;0;0;1;"5"
"2019_1_2019009991";45;"Aguada";1;"B";2;8;4;0;0;0;1;"2"
"2019_1_2019009991";45;"Aguada";1;"B";1;40;1;0;1;0;2;"21"
"2019_1_2019009994";40;"Manga, Toledo Chico";10;"D";1;8;3;0;0;0;1;"2"
"2019_1_2019009994";40;"Manga, Toledo Chico";10;"D";2;62;8;0;0;0;9;"5"
"2019_1_2019009994";40;"Manga, Toledo Chico";10;"D";1;43;2;0;1;1;2;"10"
"2019_1_2019009994";40;"Manga, Toledo Chico";10;"D";2;41;1;0;1;1;2;"6"
"2019_1_2019009996";43;"Belvedere";14;"A";2;45;1;0;1;0;2;"15"
"2019_1_2019009996";43;"Belvedere";14;"A";1;13;3;0;0;0;1;"6"
"2019_1_2019009996";43;"Belvedere";14;"A";1;46;2;0;1;0;2;"13"
"2019_1_2019009996";43;"Belvedere";14;"A";1;16;3;0;0;0;7;"10"
"2019_1_2019009998";36;"Buceo";5;"CH";1;4;3;0;0;0;1;"0"
"2019_1_2019009998";36;"Buceo";5;"CH";1;41;2;0;1;0;2;"12"
"2019_1_2019009998";36;"Buceo";5;"CH";1;7;3;0;0;0;1;"0"
"2019_1_2019009998";36;"Buceo";5;"CH";2;38;1;0;1;0;2;"16"
"2019_1_2019010001";41;"Cerrito";11;"D";2;11;5;0;0;0;1;"4"
"2019_1_2019010001";41;"Cerrito";11;"D";1;3;3;0;0;0;1;"0"
"2019_1_2019010001";41;"Cerrito";11;"D";1;38;1;0;1;0;2;"9"
"2019_1_2019010001";41;"Cerrito";11;"D";2;31;2;0;1;1;2;"10"
"2019_1_2019010003";45;"Villa Garcia, Manga Rur.";9;"F";1;29;1;0;1;0;2;"13"
"2019_1_2019010003";45;"Villa Garcia, Manga Rur.";9;"F";2;29;2;0;1;0;2;"13"
"2019_1_2019010025";46;"Villa Garcia, Manga Rur.";9;"F";2;2;3;0;0;0;1;"0"
"2019_1_2019010025";46;"Villa Garcia, Manga Rur.";9;"F";2;28;2;0;0;0;6;"10"
