"correlativ";"w";"nombarrio";"ccz";"municipio";"e26";"e27";"e30";"desocupado";"ocupados";"subempleo";"pobpcoac";"TotEduc"
"2019_1_2019029682";35;"Cordon";2;"B";2;42;1;1;0;0;4;"7"
"2019_1_2019029683";38;"La Teja";14;"A";2;64;7;0;0;0;10;"9"
"2019_1_2019029683";38;"La Teja";14;"A";1;37;1;0;1;0;2;"8"
"2019_1_2019029687";17;"Malvin Norte";6;"E";2;60;1;0;0;0;10;"12"
"2019_1_2019029688";40;"Palermo";2;"B";1;3;3;0;0;0;1;"0"
"2019_1_2019029688";40;"Palermo";2;"B";2;7;3;0;0;0;1;"2"
"2019_1_2019029688";40;"Palermo";2;"B";2;37;1;0;1;0;2;"12"
"2019_1_2019029688";40;"Palermo";2;"B";1;41;2;0;1;0;2;"15"
"2019_1_2019029692";42;"Union";11;"D";1;17;12;0;0;0;7;"11"
"2019_1_2019029692";42;"Union";11;"D";2;79;7;0;0;0;10;"6"
"2019_1_2019029692";42;"Union";11;"D";1;54;1;0;1;0;2;"17"
"2019_1_2019029693";37;"Barrio Sur";1;"B";1;53;2;0;1;0;2;"12"
"2019_1_2019029693";37;"Barrio Sur";1;"B";2;15;3;0;0;0;7;"8"
"2019_1_2019029693";37;"Barrio Sur";1;"B";1;9;3;0;0;0;1;"3"
"2019_1_2019029693";37;"Barrio Sur";1;"B";2;42;1;0;1;0;2;"12"
"2019_1_2019029700";31;"Castro, P. Castellanos";11;"D";1;27;4;0;1;0;2;"12"
"2019_1_2019029700";31;"Castro, P. Castellanos";11;"D";2;47;1;0;1;0;2;"13"
"2019_1_2019029701";23;"Pta. Rieles, Bella Italia";9;"F";2;72;1;0;0;0;9;"9"
"2019_1_2019029704";33;"Nuevo Paris";14;"A";1;27;1;1;0;0;4;"6"
"2019_1_2019029718";31;"Jardines del Hipodromo";9;"F";1;57;2;0;1;1;2;"9"
"2019_1_2019029718";31;"Jardines del Hipodromo";9;"F";2;55;1;0;1;1;2;"6"
"2019_1_2019029726";44;"Villa Garcia, Manga Rur.";9;"F";1;10;3;0;0;0;1;"3"
"2019_1_2019029726";44;"Villa Garcia, Manga Rur.";9;"F";1;11;3;0;0;0;1;"4"
"2019_1_2019029726";44;"Villa Garcia, Manga Rur.";9;"F";2;38;2;0;1;0;2;"12"
"2019_1_2019029726";44;"Villa Garcia, Manga Rur.";9;"F";1;37;1;0;1;0;2;"9"
"2019_1_2019029726";44;"Villa Garcia, Manga Rur.";9;"F";1;13;3;0;0;0;1;"8"
"2019_1_2019029727";38;"Malvin Norte";6;"E";2;60;1;0;1;0;2;"6"
"2019_1_2019029727";38;"Malvin Norte";6;"E";1;7;11;0;0;0;1;"0"
"2019_1_2019029727";38;"Malvin Norte";6;"E";1;17;4;0;0;0;7;"9"
"2019_1_2019029729";33;"Capurro, Bella Vista";16;"C";2;66;1;0;0;0;6;"6"
"2019_1_2019029729";33;"Capurro, Bella Vista";16;"C";1;50;4;0;1;0;2;"6"
"2019_1_2019029733";39;"Pque. Batlle, V. Dolores";5;"CH";1;33;2;0;1;0;2;"17"
"2019_1_2019029733";39;"Pque. Batlle, V. Dolores";5;"CH";2;33;1;0;1;0;2;"17"
"2019_1_2019029733";39;"Pque. Batlle, V. Dolores";5;"CH";2;0;3;0;0;0;1;"0"
"2019_1_2019029734";47;"Maro¦as, Parque Guarani";9;"F";1;61;1;0;0;0;10;"12"
"2019_1_2019029734";47;"Maro¦as, Parque Guarani";9;"F";2;89;7;0;0;0;10;"0"
"2019_1_2019029734";47;"Maro¦as, Parque Guarani";9;"F";2;16;4;0;0;0;6;"6"
"2019_1_2019029734";47;"Maro¦as, Parque Guarani";9;"F";1;20;6;0;1;0;2;"9"
"2019_1_2019029735";43;"Pe¦arol, Lavalleja";13;"G";1;54;1;0;1;0;2;"6"
"2019_1_2019029735";43;"Pe¦arol, Lavalleja";13;"G";2;50;2;0;0;0;6;"6"
"2019_1_2019029735";43;"Pe¦arol, Lavalleja";13;"G";2;13;3;0;0;0;1;"8"
"2019_1_2019029735";43;"Pe¦arol, Lavalleja";13;"G";1;16;3;0;0;0;11;"8"
"2019_1_2019029735";43;"Pe¦arol, Lavalleja";13;"G";2;21;3;0;1;0;2;"9"
"2019_1_2019029739";21;"Centro";2;"B";1;71;1;0;0;0;10;"17"
"2019_1_2019029742";18;"Buceo";5;"CH";2;56;1;0;1;0;2;"12"
"2019_1_2019029746";33;"Buceo";4;"CH";2;48;1;0;1;0;2;"12"
"2019_1_2019029746";33;"Buceo";4;"CH";2;14;3;0;0;0;7;"9"
"2019_1_2019029746";33;"Buceo";4;"CH";1;51;2;0;1;0;2;"12"
"2019_1_2019029751";45;"Pta. Rieles, Bella Italia";9;"F";1;25;1;1;0;0;5;"12"
"2019_1_2019029751";45;"Pta. Rieles, Bella Italia";9;"F";2;27;2;0;1;0;2;"14"
"2019_1_2019029752";29;"Conciliacion";13;"G";1;56;2;0;1;0;2;"6"
"2019_1_2019029752";29;"Conciliacion";13;"G";2;56;1;0;1;0;2;"9"
"2019_1_2019029758";44;"Cordon";2;"B";2;23;1;0;1;0;2;"15"
"2019_1_2019029758";44;"Cordon";2;"B";1;24;9;0;1;0;2;"13"
"2019_1_2019029762";29;"Pque. Batlle, V. Dolores";5;"CH";2;25;1;0;1;0;2;"15"
"2019_1_2019029774";40;"Conciliacion";13;"G";2;19;4;0;0;0;11;"8"
"2019_1_2019029774";40;"Conciliacion";13;"G";2;46;1;0;1;1;2;"8"
"2019_1_2019029774";40;"Conciliacion";13;"G";2;27;4;0;0;0;9;"4"
"2019_1_2019029774";40;"Conciliacion";13;"G";2;12;4;0;0;0;1;"6"
"2019_1_2019029774";40;"Conciliacion";13;"G";1;1;11;0;0;0;1;"0"
"2019_1_2019029775";46;"La Paloma, Tomkinson";17;"A";1;42;1;0;1;0;2;"12"
"2019_1_2019029775";46;"La Paloma, Tomkinson";17;"A";2;8;3;0;0;0;1;"2"
"2019_1_2019029775";46;"La Paloma, Tomkinson";17;"A";1;18;3;0;1;0;2;"9"
"2019_1_2019029775";46;"La Paloma, Tomkinson";17;"A";2;44;2;0;1;0;2;"11"
"2019_1_2019029782";45;"Las Acacias";11;"D";1;6;3;0;0;0;1;"0"
"2019_1_2019029782";45;"Las Acacias";11;"D";1;11;5;0;0;0;1;"6"
"2019_1_2019029782";45;"Las Acacias";11;"D";1;22;5;0;1;0;2;"6"
"2019_1_2019029782";45;"Las Acacias";11;"D";1;42;1;0;1;0;2;"14"
"2019_1_2019029782";45;"Las Acacias";11;"D";2;40;2;0;0;0;6;"9"
"2019_1_2019029784";16;"La Blanqueada";4;"CH";2;33;1;0;1;0;2;"23"
"2019_1_2019029786";36;"Cordon";2;"B";1;51;1;0;1;0;2;"17"
"2019_1_2019029786";36;"Cordon";2;"B";1;19;5;0;0;0;7;"10"
"2019_1_2019029786";36;"Cordon";2;"B";2;48;2;0;0;0;6;"18"
"2019_1_2019029790";36;"Manga";10;"D";2;3;4;0;0;0;1;"0"
"2019_1_2019029790";36;"Manga";10;"D";2;29;1;0;1;0;2;"9"
"2019_1_2019029804";23;"Jacinto Vera";3;"C";2;85;1;0;0;0;10;"16"
"2019_1_2019029811";31;"Malvin";7;"E";2;43;2;0;1;0;2;"14"
"2019_1_2019029811";31;"Malvin";7;"E";1;9;3;0;0;0;1;"2"
"2019_1_2019029811";31;"Malvin";7;"E";1;54;1;0;1;0;2;"15"
"2019_1_2019029811";31;"Malvin";7;"E";2;5;3;0;0;0;1;"0"
"2019_1_2019029814";35;"Malvin";6;"E";1;11;3;0;0;0;1;"5"
"2019_1_2019029814";35;"Malvin";6;"E";2;63;1;0;1;0;2;"5"
"2019_1_2019029814";35;"Malvin";6;"E";1;52;2;0;1;0;2;"6"
"2019_1_2019029819";30;"Punta Gorda";7;"E";2;58;2;0;1;0;2;"13"
"2019_1_2019029819";30;"Punta Gorda";7;"E";1;59;1;0;1;0;2;"17"
"2019_1_2019029819";30;"Punta Gorda";7;"E";1;25;3;0;1;0;2;"17"
"2019_1_2019029819";30;"Punta Gorda";7;"E";1;22;3;0;1;0;2;"15"
"2019_1_2019029821";30;"Paso de las Duranas";13;"G";2;70;2;0;0;0;6;"6"
"2019_1_2019029821";30;"Paso de las Duranas";13;"G";1;72;1;0;0;0;10;"6"
"2019_1_2019029821";30;"Paso de las Duranas";13;"G";2;36;3;0;1;0;2;"12"
"2019_1_2019029829";23;"Pocitos";5;"CH";2;73;1;0;0;0;10;"12"
"2019_1_2019029829";23;"Pocitos";5;"CH";2;34;4;0;1;0;2;"15"
"2019_1_2019029833";26;"Las Acacias";11;"D";1;50;1;0;1;0;2;"6"
"2019_1_2019029838";16;"Pque. Batlle, V. Dolores";5;"CH";2;33;1;0;1;0;2;"12"
"2019_1_2019029843";41;"Pta. Rieles, Bella Italia";9;"F";1;3;4;0;0;0;1;"0"
"2019_1_2019029843";41;"Pta. Rieles, Bella Italia";9;"F";2;17;4;0;0;0;7;"11"
"2019_1_2019029843";41;"Pta. Rieles, Bella Italia";9;"F";2;42;1;0;1;0;2;"11"
"2019_1_2019029843";41;"Pta. Rieles, Bella Italia";9;"F";1;13;4;0;0;0;1;"7"
"2019_1_2019029843";41;"Pta. Rieles, Bella Italia";9;"F";2;21;4;0;1;1;2;"13"
"2019_1_2019029844";41;"Villa Mu¦oz, Retiro";2;"B";1;1;3;0;0;0;1;"0"
"2019_1_2019029844";41;"Villa Mu¦oz, Retiro";2;"B";2;5;3;0;0;0;1;"0"
"2019_1_2019029844";41;"Villa Mu¦oz, Retiro";2;"B";1;33;1;0;1;0;2;"10"
"2019_1_2019029844";41;"Villa Mu¦oz, Retiro";2;"B";2;37;2;0;1;0;2;"14"
"2019_1_2019029845";42;"Ciudad Vieja";1;"B";1;47;4;0;1;0;2;"12"
"2019_1_2019029845";42;"Ciudad Vieja";1;"B";2;70;1;0;0;0;10;"14"
"2019_1_2019029850";32;"Casabo, Pajas Blancas";17;"A";1;79;1;0;0;0;10;"12"
"2019_1_2019029850";32;"Casabo, Pajas Blancas";17;"A";2;77;2;0;0;0;6;"6"
"2019_1_2019029851";43;"Casavalle";10;"D";2;69;12;0;0;0;9;"6"
"2019_1_2019029851";43;"Casavalle";10;"D";1;23;12;0;1;0;2;"8"
